seqname,tax_id
HHL39719.1,GWC2-55-46
MBF0170077.1,UBA7883
MBF0292519.1,UBA7883
MBF0368445.1,JADFZT01
MBI1887605.1,Gallionella
MBI3155741.1,Rubrivivax
MBI3149117.1,JACPUX01
MBI3583856.1,UBA9942
MBI3581765.1,JACRGQ01
MBI3354937.1,9FT-COMBO-42-15
MBI3397692.1,UBA9637
MBI3754243.1,UBA9637
MBI3755565.1,UBA9637
MBI3600307.1,UBA9942
MBI4377850.1,UBA9942
MBI4319719.1,FW602-bin22
MBI5185472.1,JACRGO01
MBI5233754.1,GWC2-55-46
MBI5286184.1,GWC2-55-46
MBI4937615.1,VIKH01
MBI5047692.1,UBA9637
MBI5406648.1,HDB-SIOI813
MBI5637487.1,JACRGQ01
MBI5437929.1,Gallionella
MBI5468281.1,GWC2-55-46
MBI5328769.1,UBA9637
MBI5682511.1,UBA9637
MBI5658839.1,VIKH01
MBI5748416.1,UBA9942
MBI5892548.1,UBA9637
MBI5875815.1,UBA9637
MBM2838306.1,JAENJC01
MBT4161189.1,UBA9659
MBT4519173.1,Halioglobus
MCF6210297.1,SZUA-152
MCP4042211.1,JAABTG01
MCP4315445.1,SPNT01
MCP4326926.1,Bin65
MCR4305436.1,Gallionella
MCR4298484.1,Gallionella
MDH4183385.1,UBA7883
MDH5755196.1,UBA7883
MDH5643712.1,GWC2-71-9
MDH5508748.1,UBA7883
MDH5541682.1,JACRGQ01
MDH5478233.1,UBA7883
MDO8261757.1,Gallionella
MDO8463917.1,Gallionella
MDP1834229.1,UBA2206
MDP2815045.1,UBA8932
MDP4027402.1,Gallionella
MDP6022523.1,GCA-2731375
MDP6692244.1,GCA-2731375
MDQ6982875.1,Mariprofundus
MDR0827710.1,Frigididesulfovibrio
MDR1241203.1,WRHT01
MDR1489044.1,Frigididesulfovibrio
MDR1685322.1,Frigididesulfovibrio
MDR1856375.1,Desulfovibrio
MDR2076787.1,Frigididesulfovibrio
MDR2161450.1,Frigididesulfovibrio
MDR2503192.1,WRHT01
MDR2669782.1,Frigididesulfovibrio
MDR2801092.1,Frigididesulfovibrio
MDR2825600.1,WRHT01
MDR3177049.1,Frigididesulfovibrio
WP_093792193.1,Sporomusa
CAG1012064.1,JACPUX01
WP_301017833.1,Thiothrix
MCP4042422.1,Gammaproteobacteria
